Country,Year,child_mortality,region
Afghanistan,1964,339.7,South Asia
Afghanistan,1965,334.1,South Asia
Afghanistan,1966,328.7,South Asia
Afghanistan,1967,323.3,South Asia
Afghanistan,1968,318.1,South Asia
Afghanistan,1969,313,South Asia
Afghanistan,1970,307.8,South Asia
Afghanistan,1971,302.1,South Asia
Afghanistan,1972,296.4,South Asia
Afghanistan,1973,290.8,South Asia
Afghanistan,1974,284.9,South Asia
Afghanistan,1975,279.4,South Asia
Afghanistan,1976,273.6,South Asia
Afghanistan,1977,267.8,South Asia
Afghanistan,1978,261.6,South Asia
Afghanistan,1979,255.5,South Asia
Afghanistan,1980,249.1,South Asia
Afghanistan,1981,242.7,South Asia
Afghanistan,1982,236.2,South Asia
Afghanistan,1983,229.7,South Asia
Afghanistan,1984,222.9,South Asia
Afghanistan,1985,216,South Asia
Afghanistan,1986,209.2,South Asia
Afghanistan,1987,202.1,South Asia
Afghanistan,1988,195,South Asia
Afghanistan,1989,187.8,South Asia
Afghanistan,1990,181,South Asia
Afghanistan,1991,174.2,South Asia
Afghanistan,1992,167.8,South Asia
Afghanistan,1993,162,South Asia
Afghanistan,1994,156.8,South Asia
Afghanistan,1995,152.3,South Asia
Afghanistan,1996,148.6,South Asia
Afghanistan,1997,145.5,South Asia
Afghanistan,1998,142.6,South Asia
Afghanistan,1999,139.9,South Asia
Afghanistan,2000,137,South Asia
Afghanistan,2001,133.8,South Asia
Afghanistan,2002,130.3,South Asia
Afghanistan,2003,126.8,South Asia
Afghanistan,2004,123.2,South Asia
Afghanistan,2005,119.6,South Asia
Afghanistan,2006,116.3,South Asia
Afghanistan,2007,113.2,South Asia
Afghanistan,2008,110.4,South Asia
Afghanistan,2009,107.6,South Asia
Afghanistan,2010,105,South Asia
Afghanistan,2011,102.3,South Asia
Afghanistan,2012,99.5,South Asia
Afghanistan,2013,96.7,South Asia
Albania,1964,122.67,Europe & Central Asia
Albania,1965,120.09,Europe & Central Asia
Albania,1966,117.56,Europe & Central Asia
Albania,1967,115.09,Europe & Central Asia
Albania,1968,112.67,Europe & Central Asia
Albania,1969,110.3,Europe & Central Asia
Albania,1970,107.98,Europe & Central Asia
Albania,1971,105.71,Europe & Central Asia
Albania,1972,103.49,Europe & Central Asia
Albania,1973,101.31,Europe & Central Asia
Albania,1974,99.18,Europe & Central Asia
Albania,1975,97.1,Europe & Central Asia
Albania,1976,95.06,Europe & Central Asia
Albania,1977,93.06,Europe & Central Asia
Albania,1978,91.1,Europe & Central Asia
Albania,1979,84.7,Europe & Central Asia
Albania,1980,78.6,Europe & Central Asia
Albania,1981,73,Europe & Central Asia
Albania,1982,67.8,Europe & Central Asia
Albania,1983,62.8,Europe & Central Asia
Albania,1984,58.3,Europe & Central Asia
Albania,1985,54.3,Europe & Central Asia
Albania,1986,50.7,Europe & Central Asia
Albania,1987,47.6,Europe & Central Asia
Albania,1988,44.9,Europe & Central Asia
Albania,1989,42.5,Europe & Central Asia
Albania,1990,40.6,Europe & Central Asia
Albania,1991,38.8,Europe & Central Asia
Albania,1992,37.3,Europe & Central Asia
Albania,1993,36,Europe & Central Asia
Albania,1994,34.6,Europe & Central Asia
Albania,1995,33.2,Europe & Central Asia
Albania,1996,31.8,Europe & Central Asia
Albania,1997,30.3,Europe & Central Asia
Albania,1998,28.9,Europe & Central Asia
Albania,1999,27.5,Europe & Central Asia
Albania,2000,26.2,Europe & Central Asia
Albania,2001,24.9,Europe & Central Asia
Albania,2002,23.6,Europe & Central Asia
Albania,2003,22.5,Europe & Central Asia
Albania,2004,21.5,Europe & Central Asia
Albania,2005,20.5,Europe & Central Asia
Albania,2006,19.5,Europe & Central Asia
Albania,2007,18.7,Europe & Central Asia
Albania,2008,17.9,Europe & Central Asia
Albania,2009,17.3,Europe & Central Asia
Albania,2010,16.6,Europe & Central Asia
Albania,2011,16,Europe & Central Asia
Albania,2012,15.5,Europe & Central Asia
Albania,2013,14.9,Europe & Central Asia
Algeria,1964,247.3,Middle East & North Africa
Algeria,1965,248.2,Middle East & North Africa
Algeria,1966,248.9,Middle East & North Africa
Algeria,1967,248.9,Middle East & North Africa
Algeria,1968,248,Middle East & North Africa
Algeria,1969,245.8,Middle East & North Africa
Algeria,1970,242.2,Middle East & North Africa
Algeria,1971,237.3,Middle East & North Africa
Algeria,1972,230.9,Middle East & North Africa
Algeria,1973,223.4,Middle East & North Africa
Algeria,1974,214.9,Middle East & North Africa
Algeria,1975,205.5,Middle East & North Africa
Algeria,1976,195.7,Middle East & North Africa
Algeria,1977,185.1,Middle East & North Africa
Algeria,1978,173.9,Middle East & North Africa
Algeria,1979,161.7,Middle East & North Africa
Algeria,1980,148,Middle East & North Africa
Algeria,1981,132.6,Middle East & North Africa
Algeria,1982,115.9,Middle East & North Africa
Algeria,1983,98.9,Middle East & North Africa
Algeria,1984,83.6,Middle East & North Africa
Algeria,1985,71.2,Middle East & North Africa
Algeria,1986,61.9,Middle East & North Africa
Algeria,1987,55.3,Middle East & North Africa
Algeria,1988,51.2,Middle East & North Africa
Algeria,1989,48.6,Middle East & North Africa
Algeria,1990,46.9,Middle East & North Africa
Algeria,1991,45.8,Middle East & North Africa
Algeria,1992,45,Middle East & North Africa
Algeria,1993,44.2,Middle East & North Africa
Algeria,1994,43.5,Middle East & North Africa
Algeria,1995,42.6,Middle East & North Africa
Algeria,1996,41.8,Middle East & North Africa
Algeria,1997,41.2,Middle East & North Africa
Algeria,1998,40.7,Middle East & North Africa
Algeria,1999,40.2,Middle East & North Africa
Algeria,2000,39.7,Middle East & North Africa
Algeria,2001,38.9,Middle East & North Africa
Algeria,2002,37.8,Middle East & North Africa
Algeria,2003,36.5,Middle East & North Africa
Algeria,2004,35.1,Middle East & North Africa
Algeria,2005,33.6,Middle East & North Africa
Algeria,2006,32.1,Middle East & North Africa
Algeria,2007,30.7,Middle East & North Africa
Algeria,2008,29.5,Middle East & North Africa
Algeria,2009,28.4,Middle East & North Africa
Algeria,2010,27.4,Middle East & North Africa
Algeria,2011,26.6,Middle East & North Africa
Algeria,2012,25.8,Middle East & North Africa
Algeria,2013,25.2,Middle East & North Africa
Angola,1964,305.2,Sub-Saharan Africa
Angola,1965,297.55,Sub-Saharan Africa
Angola,1966,289.99,Sub-Saharan Africa
Angola,1967,282.4,Sub-Saharan Africa
Angola,1968,275.28,Sub-Saharan Africa
Angola,1969,268.59,Sub-Saharan Africa
Angola,1970,262.29,Sub-Saharan Africa
Angola,1971,259.32,Sub-Saharan Africa
Angola,1972,256.39,Sub-Saharan Africa
Angola,1973,253.49,Sub-Saharan Africa
Angola,1974,250.63,Sub-Saharan Africa
Angola,1975,247.79,Sub-Saharan Africa
Angola,1976,244.99,Sub-Saharan Africa
Angola,1977,242.22,Sub-Saharan Africa
Angola,1978,239.48,Sub-Saharan Africa
Angola,1979,236.78,Sub-Saharan Africa
Angola,1980,234.1,Sub-Saharan Africa
Angola,1981,232.8,Sub-Saharan Africa
Angola,1982,231.5,Sub-Saharan Africa
Angola,1983,230.2,Sub-Saharan Africa
Angola,1984,229.1,Sub-Saharan Africa
Angola,1985,228.3,Sub-Saharan Africa
Angola,1986,227.5,Sub-Saharan Africa
Angola,1987,226.9,Sub-Saharan Africa
Angola,1988,226.5,Sub-Saharan Africa
Angola,1989,226.2,Sub-Saharan Africa
Angola,1990,226,Sub-Saharan Africa
Angola,1991,225.9,Sub-Saharan Africa
Angola,1992,226,Sub-Saharan Africa
Angola,1993,225.8,Sub-Saharan Africa
Angola,1994,225.5,Sub-Saharan Africa
Angola,1995,224.8,Sub-Saharan Africa
Angola,1996,224,Sub-Saharan Africa
Angola,1997,222.6,Sub-Saharan Africa
Angola,1998,220.8,Sub-Saharan Africa
Angola,1999,218.9,Sub-Saharan Africa
Angola,2000,216.7,Sub-Saharan Africa
Angola,2001,214.1,Sub-Saharan Africa
Angola,2002,211.7,Sub-Saharan Africa
Angola,2003,209.2,Sub-Saharan Africa
Angola,2004,206.7,Sub-Saharan Africa
Angola,2005,203.9,Sub-Saharan Africa
