Country,Year,fertility,region,,,,,
Afghanistan,1964,7.671,South Asia,,,,,
Afghanistan,1965,7.671,South Asia,,,,,
Afghanistan,1966,7.671,South Asia,,,,,
Afghanistan,1967,7.671,South Asia,,,,,
Afghanistan,1968,7.671,South Asia,,,,,
Afghanistan,1969,7.671,South Asia,,,,,
Afghanistan,1970,7.671,South Asia,,,,,
Afghanistan,1971,7.671,South Asia,,,,,
Afghanistan,1972,7.671,South Asia,,,,,
Afghanistan,1973,7.671,South Asia,,,,,
Afghanistan,1974,7.671,South Asia,,,,,
Afghanistan,1975,7.671,South Asia,,,,,
Afghanistan,1976,7.67,South Asia,,,,,
Afghanistan,1977,7.67,South Asia,,,,,
Afghanistan,1978,7.67,South Asia,,,,,
Afghanistan,1979,7.669,South Asia,,,,,
Afghanistan,1980,7.669,South Asia,,,,,
Afghanistan,1981,7.67,South Asia,,,,,
Afghanistan,1982,7.671,South Asia,,,,,
Afghanistan,1983,7.673,South Asia,,,,,
Afghanistan,1984,7.676,South Asia,,,,,
Afghanistan,1985,7.679,South Asia,,,,,
Afghanistan,1986,7.681,South Asia,,,,,
Afghanistan,1987,7.682,South Asia,,,,,
Afghanistan,1988,7.682,South Asia,,,,,
Afghanistan,1989,7.682,South Asia,,,,,
Afghanistan,1990,7.687,South Asia,,,,,
Afghanistan,1991,7.7,South Asia,,,,,
Afghanistan,1992,7.725,South Asia,,,,,
Afghanistan,1993,7.758,South Asia,,,,,
Afghanistan,1994,7.796,South Asia,,,,,
Afghanistan,1995,7.832,South Asia,,,,,
Afghanistan,1996,7.859,South Asia,,,,,
Afghanistan,1997,7.869,South Asia,,,,,
Afghanistan,1998,7.854,South Asia,,,,,
Afghanistan,1999,7.809,South Asia,,,,,
Afghanistan,2000,7.733,South Asia,,,,,
Afghanistan,2001,7.623,South Asia,,,,,
Afghanistan,2002,7.484,South Asia,,,,,
Afghanistan,2003,7.321,South Asia,,,,,
Afghanistan,2004,7.136,South Asia,,,,,
Afghanistan,2005,6.93,South Asia,,,,,
Afghanistan,2006,6.702,South Asia,,,,,
Afghanistan,2007,6.456,South Asia,,,,,
Afghanistan,2008,6.196,South Asia,,,,,
Afghanistan,2009,5.928,South Asia,,,,,
Afghanistan,2010,5.659,South Asia,,,,,
Afghanistan,2011,5.395,South Asia,,,,,
Afghanistan,2012,5.141,South Asia,,,,,
Afghanistan,2013,4.9,South Asia,,,,,
Albania,1964,5.711,Europe & Central Asia,,,,,
Albania,1965,5.594,Europe & Central Asia,,,,,
Albania,1966,5.483,Europe & Central Asia,,,,,
Albania,1967,5.376,Europe & Central Asia,,,,,
Albania,1968,5.268,Europe & Central Asia,,,,,
Albania,1969,5.16,Europe & Central Asia,,,,,
Albania,1970,5.05,Europe & Central Asia,,,,,
Albania,1971,4.933,Europe & Central Asia,,,,,
Albania,1972,4.809,Europe & Central Asia,,,,,
Albania,1973,4.677,Europe & Central Asia,,,,,
Albania,1974,4.538,Europe & Central Asia,,,,,
Albania,1975,4.393,Europe & Central Asia,,,,,
Albania,1976,4.244,Europe & Central Asia,,,,,
Albania,1977,4.094,Europe & Central Asia,,,,,
Albania,1978,3.947,Europe & Central Asia,,,,,
Albania,1979,3.807,Europe & Central Asia,,,,,
Albania,1980,3.678,Europe & Central Asia,,,,,
Albania,1981,3.562,Europe & Central Asia,,,,,
Albania,1982,3.46,Europe & Central Asia,,,,,
Albania,1983,3.372,Europe & Central Asia,,,,,
Albania,1984,3.297,Europe & Central Asia,,,,,
Albania,1985,3.233,Europe & Central Asia,,,,,
Albania,1986,3.177,Europe & Central Asia,,,,,
Albania,1987,3.126,Europe & Central Asia,,,,,
Albania,1988,3.075,Europe & Central Asia,,,,,
Albania,1989,3.023,Europe & Central Asia,,,,,
Albania,1990,2.97,Europe & Central Asia,,,,,
Albania,1991,2.917,Europe & Central Asia,,,,,
Albania,1992,2.867,Europe & Central Asia,,,,,
Albania,1993,2.819,Europe & Central Asia,,,,,
Albania,1994,2.772,Europe & Central Asia,,,,,
Albania,1995,2.723,Europe & Central Asia,,,,,
Albania,1996,2.67,Europe & Central Asia,,,,,
Albania,1997,2.611,Europe & Central Asia,,,,,
Albania,1998,2.543,Europe & Central Asia,,,,,
Albania,1999,2.467,Europe & Central Asia,,,,,
Albania,2000,2.383,Europe & Central Asia,,,,,
Albania,2001,2.291,Europe & Central Asia,,,,,
Albania,2002,2.195,Europe & Central Asia,,,,,
Albania,2003,2.097,Europe & Central Asia,,,,,
Albania,2004,2.004,Europe & Central Asia,,,,,
Albania,2005,1.919,Europe & Central Asia,,,,,
Albania,2006,1.849,Europe & Central Asia,,,,,
Albania,2007,1.796,Europe & Central Asia,,,,,
Albania,2008,1.761,Europe & Central Asia,,,,,
Albania,2009,1.744,Europe & Central Asia,,,,,
Albania,2010,1.741,Europe & Central Asia,,,,,
Albania,2011,1.748,Europe & Central Asia,,,,,
Albania,2012,1.76,Europe & Central Asia,,,,,
Albania,2013,1.771,Europe & Central Asia,,,,,
Algeria,1964,7.653,Middle East & North Africa,,,,,
Algeria,1965,7.655,Middle East & North Africa,,,,,
Algeria,1966,7.657,Middle East & North Africa,,,,,
Algeria,1967,7.658,Middle East & North Africa,,,,,
Algeria,1968,7.657,Middle East & North Africa,,,,,
Algeria,1969,7.652,Middle East & North Africa,,,,,
Algeria,1970,7.641,Middle East & North Africa,,,,,
