gdp,region,Country,Year
1182,South Asia,Afghanistan,1964
1182,South Asia,Afghanistan,1965
1168,South Asia,Afghanistan,1966
1173,South Asia,Afghanistan,1967
1187,South Asia,Afghanistan,1968
1178,South Asia,Afghanistan,1969
1174,South Asia,Afghanistan,1970
1092,South Asia,Afghanistan,1971
1046,South Asia,Afghanistan,1972
1137,South Asia,Afghanistan,1973
1170,South Asia,Afghanistan,1974
1201,South Asia,Afghanistan,1975
1231,South Asia,Afghanistan,1976
1119,South Asia,Afghanistan,1977
1179,South Asia,Afghanistan,1978
1155,South Asia,Afghanistan,1979
1158,South Asia,Afghanistan,1980
1284,South Asia,Afghanistan,1981
1402,South Asia,Afghanistan,1982
1454,South Asia,Afghanistan,1983
1429,South Asia,Afghanistan,1984
1384,South Asia,Afghanistan,1985
1486,South Asia,Afghanistan,1986
1230,South Asia,Afghanistan,1987
1113,South Asia,Afghanistan,1988
1087,South Asia,Afghanistan,1989
1028,South Asia,Afghanistan,1990
1022,South Asia,Afghanistan,1991
941,South Asia,Afghanistan,1992
810,South Asia,Afghanistan,1993
725,South Asia,Afghanistan,1994
872,South Asia,Afghanistan,1995
895,South Asia,Afghanistan,1996
921,South Asia,Afghanistan,1997
947,South Asia,Afghanistan,1998
972,South Asia,Afghanistan,1999
962,South Asia,Afghanistan,2000
862,South Asia,Afghanistan,2001
1053,South Asia,Afghanistan,2002
1097,South Asia,Afghanistan,2003
1067,South Asia,Afghanistan,2004
1146,South Asia,Afghanistan,2005
1173,South Asia,Afghanistan,2006
1298,South Asia,Afghanistan,2007
1311,South Asia,Afghanistan,2008
1548,South Asia,Afghanistan,2009
1637,South Asia,Afghanistan,2010
1695,South Asia,Afghanistan,2011
1893,South Asia,Afghanistan,2012
1884,South Asia,Afghanistan,2013
3023,Europe & Central Asia,Albania,1964
3129,Europe & Central Asia,Albania,1965
3242,Europe & Central Asia,Albania,1966
3359,Europe & Central Asia,Albania,1967
3475,Europe & Central Asia,Albania,1968
3587,Europe & Central Asia,Albania,1969
3712,Europe & Central Asia,Albania,1970
3849,Europe & Central Asia,Albania,1971
3988,Europe & Central Asia,Albania,1972
4174,Europe & Central Asia,Albania,1973
4177,Europe & Central Asia,Albania,1974
4178,Europe & Central Asia,Albania,1975
4182,Europe & Central Asia,Albania,1976
4188,Europe & Central Asia,Albania,1977
4194,Europe & Central Asia,Albania,1978
4201,Europe & Central Asia,Albania,1979
4218,Europe & Central Asia,Albania,1980
4227,Europe & Central Asia,Albania,1981
4237,Europe & Central Asia,Albania,1982
4248,Europe & Central Asia,Albania,1983
4259,Europe & Central Asia,Albania,1984
4267,Europe & Central Asia,Albania,1985
4281,Europe & Central Asia,Albania,1986
4294,Europe & Central Asia,Albania,1987
4307,Europe & Central Asia,Albania,1988
4325,Europe & Central Asia,Albania,1989
4350,Europe & Central Asia,Albania,1990
3081,Europe & Central Asia,Albania,1991
2877,Europe & Central Asia,Albania,1992
3172,Europe & Central Asia,Albania,1993
3457,Europe & Central Asia,Albania,1994
3941,Europe & Central Asia,Albania,1995
4326,Europe & Central Asia,Albania,1996
3909,Europe & Central Asia,Albania,1997
4434,Europe & Central Asia,Albania,1998
4912,Europe & Central Asia,Albania,1999
5305,Europe & Central Asia,Albania,2000
5730,Europe & Central Asia,Albania,2001
5913,Europe & Central Asia,Albania,2002
6274,Europe & Central Asia,Albania,2003
6672,Europe & Central Asia,Albania,2004
7075,Europe & Central Asia,Albania,2005
7476,Europe & Central Asia,Albania,2006
7977,Europe & Central Asia,Albania,2007
8644,Europe & Central Asia,Albania,2008
8994,Europe & Central Asia,Albania,2009
9374,Europe & Central Asia,Albania,2010
9640,Europe & Central Asia,Albania,2011
9811,Europe & Central Asia,Albania,2012
9961,Europe & Central Asia,Albania,2013
5693,Middle East & North Africa,Algeria,1964
5916,Middle East & North Africa,Algeria,1965
5478,Middle East & North Africa,Algeria,1966
5811,Middle East & North Africa,Algeria,1967
6319,Middle East & North Africa,Algeria,1968
6747,Middle East & North Africa,Algeria,1969
7227,Middle East & North Africa,Algeria,1970
6427,Middle East & North Africa,Algeria,1971
7556,Middle East & North Africa,Algeria,1972
7581,Middle East & North Africa,Algeria,1973
7812,Middle East & North Africa,Algeria,1974
8119,Middle East & North Africa,Algeria,1975
8400,Middle East & North Africa,Algeria,1976
8888,Middle East & North Africa,Algeria,1977
9730,Middle East & North Africa,Algeria,1978
10293,Middle East & North Africa,Algeria,1979
10166,Middle East & North Africa,Algeria,1980
10160,Middle East & North Africa,Algeria,1981
10477,Middle East & North Africa,Algeria,1982
10696,Middle East & North Africa,Algeria,1983
10947,Middle East & North Africa,Algeria,1984
