Country,Year,life,region
Afghanistan,1964,33.639,South Asia
Afghanistan,1965,34.152,South Asia
Afghanistan,1966,34.662,South Asia
Afghanistan,1967,35.17,South Asia
Afghanistan,1968,35.674,South Asia
Afghanistan,1969,36.172,South Asia
Afghanistan,1970,36.663,South Asia
Afghanistan,1971,37.143,South Asia
Afghanistan,1972,37.614,South Asia
Afghanistan,1973,38.075,South Asia
Afghanistan,1974,38.529,South Asia
Afghanistan,1975,38.977,South Asia
Afghanistan,1976,39.417,South Asia
Afghanistan,1977,39.855,South Asia
Afghanistan,1978,40.298,South Asia
Afghanistan,1979,40.756,South Asia
Afghanistan,1980,41.242,South Asia
Afghanistan,1981,41.77,South Asia
Afghanistan,1982,42.347,South Asia
Afghanistan,1983,42.977,South Asia
Afghanistan,1984,43.661,South Asia
Afghanistan,1985,44.4,South Asia
Afghanistan,1986,45.192,South Asia
Afghanistan,1987,46.024,South Asia
Afghanistan,1988,46.88,South Asia
Afghanistan,1989,47.744,South Asia
Afghanistan,1990,48.601,South Asia
Afghanistan,1991,49.439,South Asia
Afghanistan,1992,50.247,South Asia
Afghanistan,1993,51.017,South Asia
Afghanistan,1994,51.738,South Asia
Afghanistan,1995,52.4,South Asia
Afghanistan,1996,52.995,South Asia
Afghanistan,1997,53.527,South Asia
Afghanistan,1998,54.009,South Asia
Afghanistan,1999,54.449,South Asia
Afghanistan,2000,54.863,South Asia
Afghanistan,2001,55.271,South Asia
Afghanistan,2002,55.687,South Asia
Afghanistan,2003,56.122,South Asia
Afghanistan,2004,56.583,South Asia
Afghanistan,2005,57.071,South Asia
Afghanistan,2006,57.582,South Asia
Afghanistan,2007,58.102,South Asia
Afghanistan,2008,58.618,South Asia
Afghanistan,2009,59.124,South Asia
Afghanistan,2010,59.612,South Asia
Afghanistan,2011,60.079,South Asia
Afghanistan,2012,60.524,South Asia
Afghanistan,2013,60.947,South Asia
Albania,1964,65.475,Europe & Central Asia
Albania,1965,65.863,Europe & Central Asia
Albania,1966,66.122,Europe & Central Asia
Albania,1967,66.316,Europe & Central Asia
Albania,1968,66.5,Europe & Central Asia
Albania,1969,66.702,Europe & Central Asia
Albania,1970,66.948,Europe & Central Asia
Albania,1971,67.251,Europe & Central Asia
Albania,1972,67.595,Europe & Central Asia
Albania,1973,67.966,Europe & Central Asia
Albania,1974,68.356,Europe & Central Asia
Albania,1975,68.748,Europe & Central Asia
Albania,1976,69.121,Europe & Central Asia
Albania,1977,69.459,Europe & Central Asia
Albania,1978,69.753,Europe & Central Asia
Albania,1979,70.001,Europe & Central Asia
Albania,1980,70.218,Europe & Central Asia
Albania,1981,70.426,Europe & Central Asia
Albania,1982,70.646,Europe & Central Asia
Albania,1983,70.886,Europe & Central Asia
Albania,1984,71.144,Europe & Central Asia
Albania,1985,71.398,Europe & Central Asia
Albania,1986,71.615,Europe & Central Asia
Albania,1987,71.77,Europe & Central Asia
Albania,1988,71.853,Europe & Central Asia
