population,Country,Year,region
10474903,Afghanistan,1964,South Asia
10697983,Afghanistan,1965,South Asia
10927724,Afghanistan,1966,South Asia
11163656,Afghanistan,1967,South Asia
11411022,Afghanistan,1968,South Asia
11676990,Afghanistan,1969,South Asia
11964906,Afghanistan,1970,South Asia
12273101,Afghanistan,1971,South Asia
12593688,Afghanistan,1972,South Asia
12915499,Afghanistan,1973,South Asia
13223928,Afghanistan,1974,South Asia
13505544,Afghanistan,1975,South Asia
13766792,Afghanistan,1976,South Asia
14003408,Afghanistan,1977,South Asia
14179656,Afghanistan,1978,South Asia
14249493,Afghanistan,1979,South Asia
14185729,Afghanistan,1980,South Asia
13984092,Afghanistan,1981,South Asia
13672870,Afghanistan,1982,South Asia
13300056,Afghanistan,1983,South Asia
12931791,Afghanistan,1984,South Asia
12625292,Afghanistan,1985,South Asia
12372113,Afghanistan,1986,South Asia
12183387,Afghanistan,1987,South Asia
12156685,Afghanistan,1988,South Asia
12414686,Afghanistan,1989,South Asia
13032161,Afghanistan,1990,South Asia
14069854,Afghanistan,1991,South Asia
15472076,Afghanistan,1992,South Asia
17053213,Afghanistan,1993,South Asia
18553819,Afghanistan,1994,South Asia
19789880,Afghanistan,1995,South Asia
20684982,Afghanistan,1996,South Asia
21299350,Afghanistan,1997,South Asia
21752257,Afghanistan,1998,South Asia
22227543,Afghanistan,1999,South Asia
22856302,Afghanistan,2000,South Asia
23677385,Afghanistan,2001,South Asia
24639841,Afghanistan,2002,South Asia
25678639,Afghanistan,2003,South Asia
26693486,Afghanistan,2004,South Asia
27614718,Afghanistan,2005,South Asia
28420974,Afghanistan,2006,South Asia
29145841,Afghanistan,2007,South Asia
29839994,Afghanistan,2008,South Asia
30577756,Afghanistan,2009,South Asia
31411743,Afghanistan,2010,South Asia
32358260,Afghanistan,2011,South Asia
33397058,Afghanistan,2012,South Asia
34499915,Afghanistan,2013,South Asia
1817098,Albania,1964,Europe & Central Asia
1869942,Albania,1965,Europe & Central Asia
1922993,Albania,1966,Europe & Central Asia
1976140,Albania,1967,Europe & Central Asia
2029314,Albania,1968,Europe & Central Asia
2082474,Albania,1969,Europe & Central Asia
2135599,Albania,1970,Europe & Central Asia
2188650,Albania,1971,Europe & Central Asia
2241623,Albania,1972,Europe & Central Asia
2294578,Albania,1973,Europe & Central Asia
2347607,Albania,1974,Europe & Central Asia
2400801,Albania,1975,Europe & Central Asia
2454255,Albania,1976,Europe & Central Asia
2508026,Albania,1977,Europe & Central Asia
2562121,Albania,1978,Europe & Central Asia
2616530,Albania,1979,Europe & Central Asia
2671300,Albania,1980,Europe & Central Asia
2725029,Albania,1981,Europe & Central Asia
2777592,Albania,1982,Europe & Central Asia
2831682,Albania,1983,Europe & Central Asia
2891004,Albania,1984,Europe & Central Asia
2957390,Albania,1985,Europe & Central Asia
3033393,Albania,1986,Europe & Central Asia
3116009,Albania,1987,Europe & Central Asia
3194854,Albania,1988,Europe & Central Asia
3255859,Albania,1989,Europe & Central Asia
3289483,Albania,1990,Europe & Central Asia
3291695,Albania,1991,Europe & Central Asia
3266983,Albania,1992,Europe & Central Asia
3224901,Albania,1993,Europe & Central Asia
3179442,Albania,1994,Europe & Central Asia
3141102,Albania,1995,Europe & Central Asia
3112597,Albania,1996,Europe & Central Asia
3091902,Albania,1997,Europe & Central Asia
3079037,Albania,1998,Europe & Central Asia
3072725,Albania,1999,Europe & Central Asia
3071856,Albania,2000,Europe & Central Asia
3077378,Albania,2001,Europe & Central Asia
3089778,Albania,2002,Europe & Central Asia
3106701,Albania,2003,Europe & Central Asia
3124861,Albania,2004,Europe & Central Asia
3141800,Albania,2005,Europe & Central Asia
3156607,Albania,2006,Europe & Central Asia
3169665,Albania,2007,Europe & Central Asia
3181397,Albania,2008,Europe & Central Asia
3192723,Albania,2009,Europe & Central Asia
3204284,Albania,2010,Europe & Central Asia
3215988,Albania,2011,Europe & Central Asia
3227373,Albania,2012,Europe & Central Asia
3238316,Albania,2013,Europe & Central Asia
11654905,Algeria,1964,Middle East & North Africa
11923002,Algeria,1965,Middle East & North Africa
12229853,Algeria,1966,Middle East & North Africa
12572629,Algeria,1967,Middle East & North Africa
12945462,Algeria,1968,Middle East & North Africa
13338918,Algeria,1969,Middle East & North Africa
13746185,Algeria,1970,Middle East & North Africa
14165889,Algeria,1971,Middle East & North Africa
14600659,Algeria,1972,Middle East & North Africa
15052371,Algeria,1973,Middle East & North Africa
15524137,Algeria,1974,Middle East & North Africa
16018195,Algeria,1975,Middle East & North Africa
16533323,Algeria,1976,Middle East & North Africa
17068212,Algeria,1977,Middle East & North Africa
17624756,Algeria,1978,Middle East & North Africa
18205468,Algeria,1979,Middle East & North Africa
18811199,Algeria,1980,Middle East & North Africa
19442423,Algeria,1981,Middle East & North Africa
20095648,Algeria,1982,Middle East & North Africa
20762767,Algeria,1983,Middle East & North Africa
21433070,Algeria,1984,Middle East & North Africa
22098298,Algeria,1985,Middle East & North Africa
22753511,Algeria,1986,Middle East & North Africa
23398470,Algeria,1987,Middle East & North Africa
24035237,Algeria,1988,Middle East & North Africa
24668100,Algeria,1989,Middle East & North Africa
25299182,Algeria,1990,Middle East & North Africa
25930560,Algeria,1991,Middle East & North Africa
26557969,Algeria,1992,Middle East & North Africa
27169903,Algeria,1993,Middle East & North Africa
27751086,Algeria,1994,Middle East & North Africa
28291591,Algeria,1995,Middle East & North Africa
28786855,Algeria,1996,Middle East & North Africa
29242917,Algeria,1997,Middle East & North Africa
29673694,Algeria,1998,Middle East & North Africa
30099010,Algeria,1999,Middle East & North Africa
30533827,Algeria,2000,Middle East & North Africa
30982214,Algeria,2001,Middle East & North Africa
31441848,Algeria,2002,Middle East & North Africa
31913462,Algeria,2003,Middle East & North Africa
32396048,Algeria,2004,Middle East & North Africa
32888449,Algeria,2005,Middle East & North Africa
33391954,Algeria,2006,Middle East & North Africa
33906605,Algeria,2007,Middle East & North Africa
34428028,Algeria,2008,Middle East & North Africa
34950168,Algeria,2009,Middle East & North Africa
35468208,Algeria,2010,Middle East & North Africa
35980193,Algeria,2011,Middle East & North Africa
36485828,Algeria,2012,Middle East & North Africa
36983924,Algeria,2013,Middle East & North Africa
5337063,Angola,1964,Sub-Saharan Africa
5431135,Angola,1965,Sub-Saharan Africa
5524090,Angola,1966,Sub-Saharan Africa
5617242,Angola,1967,Sub-Saharan Africa
5713156,Angola,1968,Sub-Saharan Africa
5815282,Angola,1969,Sub-Saharan Africa
5926333,Angola,1970,Sub-Saharan Africa
6047736,Angola,1971,Sub-Saharan Africa
6179685,Angola,1972,Sub-Saharan Africa
6322194,Angola,1973,Sub-Saharan Africa
6474796,Angola,1974,Sub-Saharan Africa
6637419,Angola,1975,Sub-Saharan Africa
6808850,Angola,1976,Sub-Saharan Africa
6989988,Angola,1977,Sub-Saharan Africa
7185188,Angola,1978,Sub-Saharan Africa
7400231,Angola,1979,Sub-Saharan Africa
7638420,Angola,1980,Sub-Saharan Africa
7903368,Angola,1981,Sub-Saharan Africa
8191774,Angola,1982,Sub-Saharan Africa
8491682,Angola,1983,Sub-Saharan Africa
8786652,Angola,1984,Sub-Saharan Africa
9065562,Angola,1985,Sub-Saharan Africa
9322550,Angola,1986,Sub-Saharan Africa
9562796,Angola,1987,Sub-Saharan Africa
9799680,Angola,1988,Sub-Saharan Africa
10052567,Angola,1989,Sub-Saharan Africa
10335052,Angola,1990,Sub-Saharan Africa
10653515,Angola,1991,Sub-Saharan Africa
11002910,Angola,1992,Sub-Saharan Africa
11371750,Angola,1993,Sub-Saharan Africa
11742960,Angola,1994,Sub-Saharan Africa
12105105,Angola,1995,Sub-Saharan Africa
12452725,Angola,1996,Sub-Saharan Africa
12792237,Angola,1997,Sub-Saharan Africa
13138265,Angola,1998,Sub-Saharan Africa
13511575,Angola,1999,Sub-Saharan Africa
13926373,Angola,2000,Sub-Saharan Africa
14388244,Angola,2001,Sub-Saharan Africa
14890474,Angola,2002,Sub-Saharan Africa
15419943,Angola,2003,Sub-Saharan Africa
15957460,Angola,2004,Sub-Saharan Africa
16489021,Angola,2005,Sub-Saharan Africa
17010366,Angola,2006,Sub-Saharan Africa
17525367,Angola,2007,Sub-Saharan Africa
18037964,Angola,2008,Sub-Saharan Africa
18555115,Angola,2009,Sub-Saharan Africa
19081912,Angola,2010,Sub-Saharan Africa
19618432,Angola,2011,Sub-Saharan Africa
20162517,Angola,2012,Sub-Saharan Africa
20714494,Angola,2013,Sub-Saharan Africa
58653,Antigua and Barbuda,1964,America
59844,Antigua and Barbuda,1965,America
61032,Antigua and Barbuda,1966,America
62226,Antigua and Barbuda,1967,America
63401,Antigua and Barbuda,1968,America
64528,Antigua and Barbuda,1969,America
65587,Antigua and Barbuda,1970,America
66554,Antigua and Barbuda,1971,America
67419,Antigua and Barbuda,1972,America
68182,Antigua and Barbuda,1973,America
68848,Antigua and Barbuda,1974,America
69420,Antigua and Barbuda,1975,America
69910,Antigua and Barbuda,1976,America
70301,Antigua and Barbuda,1977,America
70533,Antigua and Barbuda,1978,America
70525,Antigua and Barbuda,1979,America
70228,Antigua and Barbuda,1980,America
69639,Antigua and Barbuda,1981,America
68803,Antigua and Barbuda,1982,America
67792,Antigua and Barbuda,1983,America
66701,Antigua and Barbuda,1984,America
65614,Antigua and Barbuda,1985,America
64539,Antigua and Barbuda,1986,America
63510,Antigua and Barbuda,1987,America
62669,Antigua and Barbuda,1988,America
62192,Antigua and Barbuda,1989,America
62202,Antigua and Barbuda,1990,America
62754,Antigua and Barbuda,1991,America
63802,Antigua and Barbuda,1992,America
65238,Antigua and Barbuda,1993,America
66895,Antigua and Barbuda,1994,America
68642,Antigua and Barbuda,1995,America
70450,Antigua and Barbuda,1996,America
72322,Antigua and Barbuda,1997,America
74190,Antigua and Barbuda,1998,America
75985,Antigua and Barbuda,1999,America
77656,Antigua and Barbuda,2000,America
79165,Antigua and Barbuda,2001,America
80507,Antigua and Barbuda,2002,America
81716,Antigua and Barbuda,2003,America
82838,Antigua and Barbuda,2004,America
83916,Antigua and Barbuda,2005,America
84952,Antigua and Barbuda,2006,America
85935,Antigua and Barbuda,2007,America
86881,Antigua and Barbuda,2008,America
87802,Antigua and Barbuda,2009,America
88710,Antigua and Barbuda,2010,America
89612,Antigua and Barbuda,2011,America
90510,Antigua and Barbuda,2012,America
91404,Antigua and Barbuda,2013,America
21966478,Argentina,1964,America
22296628,Argentina,1965,America
22622012,Argentina,1966,America
22944941,Argentina,1967,America
23273148,Argentina,1968,America
23616971,Argentina,1969,America
23983358,Argentina,1970,America
24376109,Argentina,1971,America
24791983,Argentina,1972,America
25222223,Argentina,1973,America
25654154,Argentina,1974,America
26078731,Argentina,1975,America
26492716,Argentina,1976,America
26899177,Argentina,1977,America
27303001,Argentina,1978,America
27711808,Argentina,1979,America
28131040,Argentina,1980,America
28561561,Argentina,1981,America
29001060,Argentina,1982,America
29447973,Argentina,1983,America
29899743,Argentina,1984,America
